iter	Passed	Remaining
0	49	49883
1	88	44063
2	152	50765
3	222	55310
4	300	59817
5	387	64216
6	484	68758
7	565	70069
8	667	73483
9	802	79465
10	852	76631
11	927	76348
12	976	74144
13	1047	73749
14	1124	73834
15	1213	74641
16	1348	77959
17	1459	79650
18	1548	79970
19	1633	80023
20	1691	78858
21	1778	79055
22	1816	77182
23	1863	75788
24	1929	75269
25	2054	76982
26	2164	78019
27	2253	78244
28	2332	78091
29	2384	77095
30	2429	75944
31	2476	74910
32	2514	73676
33	2556	72644
34	2597	71607
35	2640	70705
36	2689	69989
37	2744	69475
38	2790	68750
39	2838	68123
40	2887	67532
41	2951	67331
42	3001	66796
43	3048	66227
44	3092	65626
45	3140	65135
46	3236	65631
47	3281	65090
48	3322	64481
49	3371	64052
50	3409	63440
51	3457	63036
52	3505	62630
53	3553	62256
54	3597	61811
55	3641	61393
56	3684	60951
57	3725	60502
58	3772	60161
59	3807	59649
60	3852	59297
61	3894	58918
62	3933	58498
63	3973	58111
64	4016	57774
65	4053	57364
66	4095	57030
67	4132	56634
68	4169	56251
69	4203	55848
70	4242	55512
71	4281	55178
72	4316	54818
73	4353	54480
74	4391	54161
75	4432	53889
76	4473	53621
77	4516	53390
78	4580	53396
79	4627	53210
80	4672	53010
81	4711	52744
82	4746	52440
83	4793	52267
84	4836	52060
85	4881	51877
86	4920	51638
87	4959	51398
88	4997	51154
89	5037	50933
90	5078	50731
91	5117	50504
92	5153	50256
93	5190	50028
94	5224	49768
95	5262	49554
96	5303	49370
97	5337	49130
98	5374	48915
99	5417	48757
100	5453	48541
101	5489	48333
102	5528	48146
103	5569	47984
104	5609	47814
105	5643	47599
106	5682	47428
107	5722	47264
108	5760	47085
109	5810	47008
110	5850	46855
111	5885	46661
112	5922	46488
113	5949	46237
114	5986	46071
115	6025	45918
116	6067	45792
117	6104	45627
118	6144	45486
119	6181	45333
120	6216	45159
121	6256	45024
122	6291	44859
123	6330	44718
124	6364	44548
125	6399	44386
126	6437	44254
127	6484	44178
128	6524	44050
129	6564	43930
130	6599	43776
131	6634	43623
132	6673	43504
133	6707	43348
134	6744	43217
135	6784	43101
136	6823	42982
137	6862	42868
138	6900	42742
139	6941	42641
140	6983	42543
141	7017	42399
142	7050	42254
143	7088	42134
144	7128	42032
145	7166	41919
146	7213	41857
147	7251	41742
148	7286	41618
149	7325	41512
150	7363	41401
151	7403	41301
152	7444	41214
153	7478	41084
154	7516	40978
155	7551	40853
156	7583	40717
157	7626	40642
158	7666	40551
159	7704	40447
160	7741	40341
161	7774	40217
162	7816	40137
163	7856	40047
164	7889	39925
165	7923	39809
166	7959	39703
167	7993	39584
168	8031	39492
169	8069	39399
170	8098	39259
171	8131	39143
172	8164	39030
173	8196	38909
174	8230	38800
175	8267	38707
176	8297	38579
177	8333	38483
178	8369	38389
179	8408	38303
180	8443	38205
181	8478	38106
182	8515	38015
183	8546	37900
184	8581	37804
185	8610	37680
186	8641	37569
187	8677	37479
188	8709	37371
189	8742	37270
190	8776	37172
191	8811	37082
192	8851	37010
193	8884	36911
194	8915	36803
195	8950	36713
196	8986	36628
197	9022	36543
198	9057	36459
199	9088	36354
200	9122	36263
201	9159	36185
202	9196	36107
203	9233	36028
204	9262	35922
205	9297	35835
206	9332	35751
207	9367	35667
208	9399	35574
209	9434	35493
210	9469	35411
211	9500	35313
212	9535	35233
213	9574	35164
214	9610	35089
215	9647	35018
216	9685	34947
217	9719	34863
218	9760	34806
219	9795	34728
220	9829	34647
221	9865	34573
222	9900	34495
223	9934	34414
224	9975	34360
225	10009	34282
226	10045	34207
227	10082	34138
228	10115	34058
229	10146	33970
230	10189	33921
231	10224	33848
232	10256	33762
233	10295	33702
234	10330	33629
235	10365	33556
236	10405	33499
237	10441	33429
238	10477	33362
239	10527	33336
240	10560	33259
241	10597	33194
242	10636	33134
243	10672	33067
244	10709	33002
245	10745	32934
246	10777	32855
247	10810	32780
248	10845	32710
249	10879	32638
250	10912	32563
251	10946	32492
252	10981	32423
253	11016	32356
254	11053	32293
255	11089	32228
256	11124	32160
257	11159	32094
258	11197	32036
259	11224	31946
260	11262	31889
261	11292	31809
262	11376	31880
263	11485	32020
264	11583	32127
265	11616	32055
266	11654	31996
267	11693	31939
268	11731	31878
269	11768	31818
270	11806	31760
271	11843	31699
272	11883	31646
273	11920	31585
274	11966	31549
275	12006	31495
276	12058	31475
277	12098	31422
278	12136	31363
279	12174	31306
280	12214	31252
281	12253	31199
282	12294	31149
283	12334	31096
284	12375	31047
285	12413	30989
286	12449	30927
287	12485	30866
288	12531	30829
289	12569	30772
290	12603	30706
291	12641	30651
292	12676	30589
293	12716	30537
294	12756	30486
295	12798	30440
296	12847	30410
297	12902	30393
298	12958	30380
299	12996	30325
300	13035	30272
301	13076	30223
302	13118	30177
303	13162	30134
304	13200	30078
305	13242	30032
306	13277	29971
307	13323	29934
308	13407	29981
309	13443	29923
310	13488	29882
311	13528	29832
312	13571	29788
313	13623	29763
314	13709	29812
315	13809	29890
316	13881	29908
317	13934	29884
318	14012	29914
319	14072	29904
320	14137	29904
321	14226	29954
322	14287	29947
323	14351	29944
324	14400	29908
325	14453	29882
326	14643	30138
327	14773	30266
328	14887	30363
329	14988	30432
330	15038	30395
331	15109	30400
332	15153	30351
333	15205	30319
334	15242	30258
335	15289	30214
336	15353	30205
337	15433	30228
338	15487	30197
339	15550	30187
340	15623	30192
341	15682	30173
342	15741	30152
343	15784	30100
344	15836	30067
345	15948	30146
346	16093	30284
347	16163	30283
348	16250	30311
349	16316	30302
350	16392	30309
351	16480	30339
352	16556	30345
353	16631	30349
354	16679	30304
355	16720	30247
356	16766	30197
357	16831	30184
358	16898	30172
359	16972	30172
360	17024	30134
361	17061	30070
362	17096	30001
363	17135	29940
364	17193	29912
365	17260	29898
366	17344	29914
367	17450	29968
368	17511	29944
369	17577	29928
370	17655	29933
371	17712	29901
372	17777	29883
373	17835	29852
374	17900	29833
375	17957	29801
376	18017	29774
377	18074	29741
378	18138	29719
379	18202	29698
380	18244	29641
381	18295	29597
382	18351	29563
383	18411	29534
384	18466	29498
385	18528	29473
386	18598	29458
387	18665	29441
388	18716	29398
389	18778	29371
390	18834	29335
391	18898	29311
392	18964	29291
